club|entrenador|fecha_nacimiento|nacionalidad|comienzo|salida|tiempo_en_cargo|partidos|ppp|fuente|temporada|fecha_carga
Club Sporting Cristal|Roberto Mosquera|21/06/1956|Perú|08/06/2026||3 días|0|-|Transfermarkt|2023|2026-06-11 21:31:12
Club Sporting Cristal|Iván Bulos|20/05/1993|Perú|02/04/2026|08/04/2026|6 días|1|0,00|Transfermarkt|2023|2026-06-11 21:31:12
Club Sporting Cristal|Zé Ricardo|13/03/1971|Brasil, Italia|02/04/2026|05/06/2026|64 días|14|1,00|Transfermarkt|2023|2026-06-11 21:31:12
Club Sporting Cristal|Paulo Autuori|25/08/1956|Brasil|16/04/2025|25/03/2026|343 días|46|1,74|Transfermarkt|2023|2026-06-11 21:31:12
Club Sporting Cristal|Jorge Soto|21/10/1971|Perú|10/04/2025|20/04/2025|10 días|2|1,50|Transfermarkt|2023|2026-06-11 21:31:12
Club Sporting Cristal|Guillermo Farré|16/03/1981|Argentina|17/06/2024|10/04/2025|297 días|26|1,69|Transfermarkt|2023|2026-06-11 21:31:12
Club Sporting Cristal|Enderson Moreira|28/09/1971|Brasil|24/11/2023|31/05/2024|189 días|19|2,26|Transfermarkt|2023|2026-06-11 21:31:12
Club Sporting Cristal|Tiago Nunes|15/02/1980|Brasil|17/11/2022|11/11/2023|359 días|47|1,79|Transfermarkt|2023|2026-06-11 21:31:12
Club Sporting Cristal|Roberto Mosquera|21/06/1956|Perú|23/02/2020|07/11/2022|988 días|115|1,93|Transfermarkt|2023|2026-06-11 21:31:12
Club Sporting Cristal|Jorge Soto|21/10/1971|Perú|20/02/2020|23/02/2020|3 días|1|1,00|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Pablo Guede|12/11/1974|Argentina, España|12/12/2025||181 días|19|2,16|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Néstor Gorosito|14/05/1964|Argentina|01/01/2025|31/12/2025|364 días|55|1,80|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Mariano Soso|30/04/1981|Argentina|07/08/2024|21/11/2024|106 días|12|2,00|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Diego Ortiz|29/03/1989|Perú|29/07/2024|07/08/2024|9 días|2|3,00|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Alejandro Restrepo|30/01/1982|Colombia|24/11/2023|27/07/2024|246 días|26|1,65|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Mauricio Larriera|26/08/1970|Uruguay|02/08/2023|10/11/2023|100 días|13|2,00|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Nixon Perea|15/08/1973|Colombia|24/07/2023|07/08/2023|14 días|2|2,00|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Guillermo Salas|21/10/1974|Perú|11/09/2022|24/07/2023|316 días|39|2,08|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Carlos Bustos|16/04/1966|Argentina|15/01/2021|11/09/2022|604 días|62|1,81|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Daniel Ahmed|22/11/1965|Argentina, Perú|06/11/2020|02/12/2020|26 días|6|0,17|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Guillermo Salas|21/10/1974|Perú|01/11/2020|04/11/2020|3 días|1|3,00|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Mario Salas|11/10/1967|Chile|02/04/2020|01/11/2020|213 días|19|0,84|Transfermarkt|2023|2026-06-11 21:31:12
Club Alianza Lima|Guillermo Salas|21/10/1974|Perú|12/03/2020|14/03/2020|2 días|1|0,00|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Héctor Cúper|16/11/1955|Argentina, Italia|11/05/2026||31 días|4|1,50|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Jorge Araujo|30/11/1979|Perú|21/04/2026|17/05/2026|26 días|7|1,43|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Javier Rabanal|19/04/1979|España|21/12/2025|21/04/2026|121 días|12|1,58|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Jorge Fossati|22/11/1952|Uruguay, Italia|20/04/2025|11/12/2025|235 días|32|2,03|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Manuel Barreto|12/09/1982|Perú|14/04/2025|25/04/2025|11 días|2|3,00|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Fabián Bustos|28/03/1969|Argentina|29/12/2023|14/04/2025|472 días|49|2,02|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Jorge Fossati|22/11/1952|Uruguay, Italia|07/03/2023|13/12/2023|281 días|42|2,00|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Jorge Araujo|30/11/1979|Perú|01/03/2023|06/03/2023|5 días|1|3,00|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Carlos Compagnucci|06/08/1968|Argentina, Italia|20/06/2022|28/02/2023|253 días|24|1,63|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Jorge Araujo|30/11/1979|Perú|19/04/2022|16/06/2022|58 días|6|1,50|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Manuel Barreto|12/09/1982|Perú|03/02/2022|07/02/2022|4 días|1|3,00|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Álvaro Gutiérrez|21/07/1968|Uruguay|03/02/2022|18/04/2022|74 días|11|1,18|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Gregorio Pérez|16/01/1948|Uruguay|04/09/2021|21/01/2022|139 días|8|2,63|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Juan Pajuelo|23/09/1974|Perú|18/08/2021|04/09/2021|17 días|2|1,00|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Ángel Comizzo|27/04/1962|Argentina, Italia|20/06/2020|18/08/2021|424 días|46|1,52|Transfermarkt|2023|2026-06-11 21:31:12
Universitario de Deportes|Gregorio Pérez|16/01/1948|Uruguay|01/01/2020|12/06/2020|163 días|10|1,80|Transfermarkt|2023|2026-06-11 21:31:12
FBC Melgar|Miguel Rondelli|24/01/1978|Argentina, Italia|28/03/2026||75 días|9|1,89|Transfermarkt|2023|2026-06-11 21:31:12
FBC Melgar|Juan Reynoso|28/12/1969|Perú|05/08/2025|21/03/2026|228 días|21|1,48|Transfermarkt|2023|2026-06-11 21:31:12
